time,hr,dist,speed
0,122,,0
1,122,1.58,
2,122,3.28,1.7
3,122,5.1,1.82
4,122,7.04,1.94
5,122,9.1,2.06
6,122,11.19,2.09
7,123,13.32,2.13
8,124,15.47,2.15
9,127,17.66,2.19
10,127,19.87,2.21
11,128,22.09,2.22
12,129,24.34,2.25
13,130,26.6,2.26
14,128,28.88,2.28
15,129,31.18,2.3
16,129,33.48,2.3
17,130,35.8,2.32
18,131,38.13,2.33
19,133,40.47,2.34
20,133,42.81,2.34
21,134,45.15,2.34
22,135,47.47,2.32
23,135,49.82,2.34999999999999
24,135,52.19,2.37
25,135,54.67,2.48
26,136,57.18,2.51
27,136,59.78,2.60000000000001
28,137,62.4,2.62
29,138,65.03,2.63
30,138,67.68,2.65000000000001
31,139,70.33,2.64999999999999
32,139,72.99,2.66
33,140,75.66,2.67000000000002
34,140,78.37,2.70999999999999
35,140,81.07,2.7
36,140,83.85,2.78
37,140,86.66,2.80999999999999
38,140,89.47,2.81000000000002
39,137,92.27,2.8
40,137,95.07,2.8
41,138,97.86,2.78999999999999
42,138,100.65,2.79000000000001
43,138,103.44,2.78999999999999
44,144,106.2,2.76000000000001
45,144,108.97,2.77000000000001
46,144,111.71,2.73999999999999
47,144,114.45,2.74000000000001
48,144,117.19,2.73999999999999
49,145,119.91,2.72
50,145,122.61,2.7
51,145,125.3,2.69000000000001
52,145,127.97,2.66999999999997
53,145,130.64,2.67000000000002
54,145,133.28,2.63999999999999
55,145,135.9,2.62000000000003
56,145,138.53,2.62999999999997
57,145,141.14,2.61000000000001
58,145,143.75,2.61000000000001
59,146,146.35,2.59999999999997
60,146,148.95,2.59999999999999
61,146,151.55,2.60000000000002
62,146,154.16,2.61000000000001
63,146,156.77,2.60999999999999
64,146,159.41,2.64000000000001
65,146,162.04,2.63
66,146,164.69,2.64999999999998
67,147,167.37,2.68000000000001
68,147,170.04,2.67000000000002
69,147,172.7,2.66
70,147,175.4,2.70000000000002
71,147,178.12,2.72
72,147,180.84,2.72
73,147,183.63,2.78999999999999
74,146,186.44,2.81
75,146,189.34,2.89999999999998
76,146,192.26,2.92000000000002
77,146,195.22,2.95999999999998
78,146,198.19,2.97
79,146,201.15,2.96000000000004
80,146,204.14,2.98999999999998
81,146,207.12,2.98000000000002
82,146,210.12,3
83,146,213.11,2.98999999999998
84,145,216.08,2.97
85,145,219.06,2.97999999999999
86,146,222.03,2.97
87,146,224.97,2.94000000000003
88,146,227.9,2.92999999999998
89,145,230.83,2.93000000000001
90,145,233.75,2.91999999999999
91,145,236.67,2.92000000000002
92,146,239.59,2.92000000000002
93,146,242.51,2.91999999999999
94,145,245.42,2.91
95,145,248.34,2.92000000000002
96,145,251.24,2.89999999999998
97,145,254.12,2.88
98,145,256.98,2.86000000000001
99,144,259.82,2.83999999999997
100,144,262.65,2.82999999999998
101,144,265.45,2.80000000000007
102,144,268.26,2.80999999999995
103,144,271.07,2.81000000000006
104,145,273.88,2.80999999999995
105,145,276.7,2.81999999999999
106,145,279.53,2.82999999999998
107,145,282.36,2.83000000000004
108,145,285.2,2.83999999999997
109,148,288.05,2.85000000000002
110,148,290.91,2.86000000000001
111,148,293.77,2.86000000000001
112,148,296.62,2.85000000000002
113,148,299.44,2.81999999999999
114,148,302.27,2.82999999999998
115,152,305.08,2.81
116,152,307.89,2.81
117,152,310.69,2.79999999999995
118,152,313.5,2.81
119,152,316.31,2.81000000000006
120,153,319.14,2.82999999999998
121,153,321.97,2.82999999999998
122,153,324.82,2.85000000000002
123,153,327.67,2.84999999999997
124,153,330.54,2.87
125,152,333.4,2.86000000000001
126,152,336.29,2.88999999999999
127,152,339.19,2.90000000000003
128,152,342.08,2.88999999999999
129,152,345,2.92000000000002
130,147,347.94,2.94
131,147,350.88,2.94
132,147,353.84,2.95999999999998
133,147,356.79,2.95000000000005
134,147,359.77,2.97999999999996
135,144,362.74,2.96999999999997
136,144,365.69,2.94999999999999
137,144,368.63,2.94
138,144,371.58,2.95000000000005
139,144,374.54,2.95999999999998
140,148,377.48,2.94
141,148,380.44,2.96000000000004
142,148,383.4,2.95999999999998
143,148,386.35,2.94999999999999
144,148,389.31,2.96000000000004
145,153,392.28,2.96999999999997
146,153,395.25,2.97000000000003
147,153,398.2,2.94999999999999
148,153,401.15,2.94999999999999
149,153,404.09,2.94
150,151,407.01,2.92000000000002
151,151,409.92,2.90999999999997
152,151,412.83,2.91000000000002
153,151,415.78,2.94999999999999
154,151,418.73,2.94999999999999
155,151,421.72,2.99000000000001
156,151,424.74,3.02000000000004
157,154,427.77,3.02999999999997
158,154,430.84,3.06999999999999
159,154,433.93,3.09000000000003
160,154,437.03,3.09999999999997
161,154,440.14,3.11000000000001
162,154,443.25,3.11000000000001
163,154,446.33,3.07999999999998
164,154,449.41,3.07999999999998
165,154,452.49,3.08000000000004
166,154,455.52,3.02999999999997
167,152,458.53,3.00999999999999
168,152,461.51,2.98000000000002
169,152,464.45,2.94
170,152,467.35,2.89999999999998
171,152,470.21,2.86000000000001
172,152,473.04,2.82999999999998
173,152,475.84,2.80000000000001
174,152,478.63,2.79000000000002
175,152,481.37,2.73999999999995
176,152,484.1,2.73000000000002
177,152,486.83,2.73000000000002
178,150,489.54,2.70999999999998
179,150,492.26,2.72000000000003
180,150,494.99,2.73000000000002
181,150,497.72,2.72999999999996
182,150,500.46,2.74000000000001
183,149,503.22,2.75999999999999
184,149,505.99,2.77000000000004
185,149,508.76,2.76999999999992
186,149,511.55,2.79000000000008
187,149,514.36,2.80999999999995
188,148,517.16,2.80000000000007
189,148,519.97,2.80999999999995
190,148,522.76,2.78999999999996
191,148,525.54,2.77999999999997
192,148,528.29,2.75000000000011
193,148,531.03,2.7399999999999
194,148,533.78,2.75000000000011
195,148,536.52,2.7399999999999
196,148,539.26,2.74000000000012
197,148,541.99,2.73000000000002
198,151,544.71,2.71999999999991
199,151,547.4,2.68999999999994
200,151,550.07,2.67000000000007
201,151,552.69,2.62
202,151,555.29,2.60000000000002
203,152,557.86,2.56999999999994
204,152,560.4,2.53999999999996
205,152,562.89,2.49000000000001
206,152,565.36,2.47000000000014
207,152,567.65,2.28999999999996
208,152,569.77,2.11999999999989
209,150,571.73,1.96000000000004
210,150,573.53,1.80000000000007
211,150,575.2,1.66999999999996
212,150,577.01,1.80999999999995
213,150,578.94,1.93000000000006
214,154,581.02,2.08000000000004
215,154,583.24,2.22000000000003
216,154,585.62,2.37999999999988
217,154,588.03,2.41000000000008
218,154,590.47,2.43999999999994
219,157,592.93,2.46000000000004
220,157,595.41,2.4799999999999
221,157,597.91,2.50000000000011
222,157,600.44,2.52999999999997
223,157,603.01,2.56999999999994
224,156,605.6,2.59000000000003
225,156,608.22,2.62000000000012
226,156,610.85,2.62999999999988
227,156,613.54,2.69000000000005
228,156,616.26,2.71999999999991
229,158,618.97,2.71000000000004
230,158,621.7,2.73000000000002
231,158,624.5,2.79999999999995
232,158,627.29,2.78999999999996
233,158,630.09,2.80000000000007
234,158,632.92,2.83000000000004
235,158,635.75,2.82999999999993
236,158,638.58,2.83000000000004
237,158,641.51,2.92999999999995
238,158,644.44,2.93000000000006
239,158,647.38,2.94000000000005
240,156,650.33,2.94999999999993
241,156,653.27,2.93999999999994
242,156,656.22,2.95000000000005
243,156,659.16,2.94000000000005
244,156,662.11,2.95000000000005
245,153,665.05,2.93999999999994
246,153,668,2.94999999999993
247,153,670.94,2.94000000000005
248,153,673.89,2.95000000000005
249,153,676.83,2.93999999999994
250,153,679.78,2.95000000000005
251,153,682.7,2.91999999999996
252,153,685.62,2.91999999999996
253,153,688.53,2.91000000000008
254,153,691.44,2.90999999999997
255,153,694.32,2.88
256,153,697.2,2.88
257,153,700.06,2.86000000000001
258,153,702.92,2.86000000000001
259,153,705.76,2.84000000000003
260,154,708.61,2.85000000000002
261,154,711.42,2.80999999999995
262,154,714.23,2.80999999999995
263,154,717.04,2.80999999999995
264,154,719.87,2.83000000000004
265,154,722.72,2.85000000000002
266,154,725.62,2.89999999999998
267,154,728.57,2.95000000000005
268,154,731.57,3
269,154,734.6,3.02999999999997
270,152,737.65,3.04999999999995
271,152,740.72,3.07000000000005
272,152,743.8,3.08000000000004
273,152,746.87,3.06999999999994
274,152,749.95,3.08000000000015
275,152,753.03,3.07999999999993
276,152,756.08,3.04999999999995
277,150,759.13,3.05000000000007
278,150,762.18,3.04999999999995
279,150,765.24,3.05999999999995
280,150,768.32,3.08000000000015
281,150,771.42,3.09999999999991
282,147,774.54,3.12
283,147,777.72,3.17999999999995
284,147,780.9,3.18000000000006
285,147,784.14,3.24000000000001
286,147,787.39,3.24999999999989
287,144,790.64,3.25
288,144,793.9,3.2600000000001
289,144,797.17,3.26999999999998
290,144,800.41,3.24000000000001
291,144,803.65,3.24000000000001
292,145,806.87,3.22000000000003
292,145,806.87,
293,145,810.08,3.20999999999992
294,145,813.27,3.19000000000005
295,145,816.46,3.18999999999994
296,145,819.64,3.17999999999995
297,145,822.79,3.15000000000009
298,145,825.95,3.15999999999997
299,145,829.11,3.15999999999997
300,145,832.27,3.16000000000008
301,145,835.44,3.16999999999996
302,143,838.62,3.17999999999995
303,143,841.8,3.18000000000006
304,143,844.98,3.17999999999995
305,143,848.15,3.17000000000007
306,143,851.33,3.17999999999995
307,143,854.49,3.16000000000008
308,143,857.66,3.16999999999996
309,143,860.84,3.17999999999995
310,143,864.01,3.17000000000007
311,143,867.19,3.17999999999995
312,145,870.35,3.15999999999997
313,145,873.51,3.16000000000008
314,145,876.68,3.17000000000007
315,145,879.84,3.15999999999985
316,145,883.01,3.17000000000007
317,146,886.15,3.13999999999999
318,146,889.3,3.14999999999998
319,146,892.46,3.15999999999997
320,146,895.61,3.15000000000009
321,146,898.76,3.14999999999998
322,144,901.9,3.13999999999999
323,144,905.04,3.13999999999999
324,144,908.2,3.16000000000008
325,144,911.37,3.16999999999996
326,144,914.53,3.15999999999997
327,144,917.69,3.16000000000008
328,144,920.85,3.15999999999985
329,144,924.02,3.17000000000007
330,144,927.19,3.16999999999996
331,144,930.35,3.16000000000008
332,148,933.54,3.18999999999994
333,148,936.72,3.18000000000006
334,148,939.9,3.17999999999995
335,148,943.09,3.19000000000005
336,148,946.28,3.18999999999994
337,150,946.28,
338,150,946.28,
339,150,946.28,
340,150,946.28,
341,150,946.28,
342,151,946.28,
343,151,946.28,
344,151,946.28,
345,151,946.28,
346,151,946.28,
347,151,946.28,
348,151,946.28,
349,151,946.28,
350,151,946.28,
351,151,946.28,
352,150,946.28,
353,150,949.45,3.17000000000007
354,150,952.61,3.15999999999985
355,150,955.78,3.17000000000007
356,150,958.93,3.14999999999998
357,150,962.07,3.13999999999999
358,152,965.22,3.14999999999998
359,152,968.37,3.15000000000009
360,152,971.52,3.14999999999998
361,152,974.65,3.13
362,152,977.77,3.11999999999989
363,152,980.86,3.09000000000003
364,152,983.97,3.11000000000013
365,152,987.04,3.06999999999994
366,152,990.1,3.06000000000006
367,152,993.17,3.06999999999994
368,152,996.22,3.05000000000007
